state,city,cases,solve,rate
Pennsylvania,Wayne,19904,12679,0.6370076366559485
Pennsylvania,Forest,29,29,1
Pennsylvania,Potter,605,518,0.856198347107438
Pennsylvania,Snyder,18,12,0.6666666666666666
Pennsylvania,Warren,716,613,0.8561452513966481
Pennsylvania,Mifflin,23,19,0.8260869565217391
Pennsylvania,Montour,6,6,1
Pennsylvania,Juniata,18,18,1
Pennsylvania,Sullivan,361,327,0.9058171745152355
Pennsylvania,Cameron,648,486,0.75
Rhodes Island,Kent,1085,837,0.7714285714285715
Rhodes Island,Newport,49,40,0.8163265306122449
Rhodes Island,Providence,1009,651,0.645193260654113
Rhodes Island,Washington,2302,2008,0.8722849695916595
Rhodes Island,Bristol,423,343,0.8108747044917257
South Carolina,Abbeville,59,55,0.9322033898305084
South Carolina,Aiken,382,336,0.8795811518324608
South Carolina,Allendale,55,46,0.8363636363636363
South Carolina,Anderson,761,686,0.9014454664914586
South Carolina,Bamberg,65,60,0.9230769230769231
South Carolina,Barnwell,71,63,0.8873239436619719
South Carolina,Beaufort,341,299,0.8768328445747801
South Carolina,Berkeley,435,385,0.8850574712643678
South Carolina,Calhoun,825,680,0.8242424242424242
South Carolina,Charleston,1122,1022,0.910873440285205
South Carolina,Cherokee,500,446,0.892
South Carolina,Chester,430,336,0.7813953488372093
South Carolina,Chesterfield,441,383,0.8684807256235828
South Carolina,Clarendon,124,108,0.8709677419354839
South Carolina,Colleton,161,146,0.906832298136646
South Carolina,Darlington,253,229,0.9051383399209486
South Carolina,Dillon,177,166,0.9378531073446328
South Carolina,Dorchester,224,200,0.8928571428571429
South Carolina,Edgefield,68,60,0.8823529411764706
South Carolina,Fairfield,1672,956,0.5717703349282297
South Carolina,Florence,410,359,0.875609756097561
South Carolina,Georgetown,125,115,0.92
South Carolina,Greenville,1014,920,0.9072978303747534
South Carolina,Greenwood,181,163,0.9005524861878453
South Carolina,Hampton,438,379,0.865296803652968
South Carolina,Horry,599,544,0.9081803005008348
South Carolina,Jasper,370,309,0.8351351351351352
South Carolina,Kershaw,113,108,0.9557522123893806
South Carolina,Lancaster,756,651,0.8611111111111112
South Carolina,Laurens,293,278,0.9488054607508533
South Carolina,Lexington,395,371,0.9392405063291139
South Carolina,McCormick,26,24,0.9230769230769231
South Carolina,Marion,5241,3839,0.732493798893341
South Carolina,Marlboro,161,155,0.9627329192546584
South Carolina,Newberry,82,79,0.9634146341463414
South Carolina,Oconee,142,130,0.9154929577464789
South Carolina,Orangeburg,410,380,0.926829268292683
South Carolina,Pickens,197,190,0.9644670050761421
South Carolina,Richland,1338,1194,0.8923766816143498
South Carolina,Saluda,51,48,0.9411764705882353
South Carolina,Spartanburg,705,620,0.8794326241134752
South Carolina,Sumter,542,477,0.8800738007380073
